ip,date,time,zone,cik,accession,extention,code,size,idx,norefer,noagent,find,crawler,browser
202.92.126.hjf,2003-11-01,00:30:03,500.0,1071739.0,0000950135-02-004061,b44125cce8va12gza.txt,200.0,21786.0,0.0,0.0,0.0,9.0,0.0,win
193.128.163.jdd,2003-11-01,00:30:17,500.0,772197.0,0001116502-01-501248,-index.htm,200.0,3094.0,1.0,1.0,0.0,0.0,0.0,
193.128.163.jdd,2003-11-01,00:30:18,500.0,772197.0,0000950144-01-505900,-index.htm,200.0,2743.0,1.0,1.0,0.0,0.0,0.0,
193.128.163.jdd,2003-11-01,00:30:18,500.0,772197.0,0000950144-01-505033,-index.htm,200.0,3048.0,1.0,1.0,0.0,0.0,0.0,
216.184.41.fhg,2003-11-01,00:30:19,500.0,318996.0,0001179110-03-009718,xslF345X02/edgar.xml,200.0,15893.0,0.0,0.0,0.0,10.0,0.0,mie
203.196.189.bgd,2003-11-01,00:30:23,500.0,1050122.0,0001047469-03-005524,.txt,200.0,197241.0,0.0,1.0,0.0,0.0,0.0,
193.128.163.jdd,2003-11-01,00:30:29,500.0,772197.0,0000950144-01-504996,.txt,200.0,466034.0,0.0,1.0,0.0,0.0,0.0,
193.128.163.jdd,2003-11-01,00:30:30,500.0,772197.0,0001209191-03-006200,bmi83128_bmi03pf.xml,200.0,10768.0,0.0,1.0,0.0,0.0,0.0,
193.128.163.jdd,2003-11-01,00:30:30,500.0,772197.0,0001209191-03-005589,bmi83128_bmi01pf.xml,200.0,11777.0,0.0,1.0,0.0,0.0,0.0,
193.128.163.jdd,2003-11-01,00:30:30,500.0,772197.0,0001209191-03-008438,bmi83490_bmi01jf.xml,200.0,3363.0,0.0,1.0,0.0,0.0,0.0,
193.128.163.jdd,2003-11-01,00:30:31,500.0,772197.0,0000766524-01-500143,.txt,200.0,16562.0,0.0,1.0,0.0,0.0,0.0,
193.128.163.jdd,2003-11-01,00:30:31,500.0,772197.0,0001209191-03-005009,bmi82744_bmi05ajf.xml,200.0,3740.0,0.0,1.0,0.0,0.0,0.0,
193.128.163.jdd,2003-11-01,00:30:32,500.0,772197.0,0000950170-00-000129,.txt,200.0,135687.0,0.0,1.0,0.0,0.0,0.0,
203.196.189.bgd,2003-11-01,00:30:32,500.0,1051425.0,0000950130-03-001207,.txt,200.0,33792.0,0.0,1.0,0.0,0.0,0.0,
193.128.163.jdd,2003-11-01,00:30:34,500.0,772197.0,0000046618-95-000043,.txt,200.0,10340.0,0.0,1.0,0.0,0.0,0.0,
203.196.189.bgd,2003-11-01,00:30:37,500.0,1054102.0,0001169232-03-001368,.txt,200.0,30636.0,0.0,1.0,0.0,0.0,0.0,
193.128.163.jdd,2003-11-01,00:30:38,500.0,772197.0,0000950144-03-004632,g81852e4.htm,200.0,58120.0,0.0,1.0,0.0,0.0,0.0,
193.128.163.jdd,2003-11-01,00:30:41,500.0,772197.0,0000950144-03-003064,g81206pfe4.htm,200.0,59441.0,0.0,1.0,0.0,0.0,0.0,
203.177.37.cha,2003-11-01,00:30:41,500.0,764478.0,0001104659-03-011338,j1536_10k.htm,200.0,1448701.0,0.0,0.0,0.0,9.0,0.0,mie
203.196.189.bgd,2003-11-01,00:30:42,500.0,1056294.0,0001012870-03-000719,.txt,200.0,18654.0,0.0,1.0,0.0,0.0,0.0,
193.128.163.jdd,2003-11-01,00:30:44,500.0,772197.0,0000950144-02-012113,g79486e4.htm,200.0,43215.0,0.0,1.0,0.0,0.0,0.0,
203.196.189.bgd,2003-11-01,00:30:47,500.0,1056673.0,0001035704-03-000116,.txt,200.0,12045.0,0.0,1.0,0.0,0.0,0.0,
193.128.163.jdd,2003-11-01,00:30:48,500.0,772197.0,0000950144-02-010265,g78627e4.htm,200.0,53772.0,0.0,1.0,0.0,0.0,0.0,
203.196.189.bgd,2003-11-01,00:30:49,500.0,106374.0,0000950144-03-001885,.txt,200.0,37037.0,0.0,1.0,0.0,0.0,0.0,
193.128.163.jdd,2003-11-01,00:30:51,500.0,772197.0,9999999997-02-037761,.paper,200.0,291.0,0.0,1.0,0.0,0.0,0.0,
193.128.163.jdd,2003-11-01,00:30:52,500.0,772197.0,0000950144-02-006039,g76570e424b2.txt,200.0,7779.0,0.0,1.0,0.0,0.0,0.0,
193.128.163.jdd,2003-11-01,00:30:52,500.0,772197.0,0000950144-02-006184,g75920rdefr14a.txt,304.0,,0.0,1.0,0.0,0.0,0.0,
193.128.163.jdd,2003-11-01,00:30:53,500.0,772197.0,0000950144-02-006038,g76571ex10-33.txt,200.0,52423.0,0.0,1.0,0.0,0.0,0.0,
193.128.163.jdd,2003-11-01,00:30:54,500.0,772197.0,0000950144-02-005806,g76489ex5-1.txt,200.0,2693.0,0.0,1.0,0.0,0.0,0.0,
193.128.163.jdd,2003-11-01,00:30:54,500.0,772197.0,0000950170-00-001956,-index.htm,200.0,3661.0,1.0,1.0,0.0,0.0,0.0,
193.128.163.jdd,2003-11-01,00:30:55,500.0,772197.0,0000950144-02-005806,g76489ex10-32.txt,200.0,52520.0,0.0,1.0,0.0,0.0,0.0,
193.128.163.jdd,2003-11-01,00:30:56,500.0,772197.0,0000950144-02-004587,g75920def14a.txt,200.0,74288.0,0.0,1.0,0.0,0.0,0.0,
193.128.163.jdd,2003-11-01,00:30:57,500.0,772197.0,0001116502-02-000267,ivax-424b2.txt,200.0,7663.0,0.0,1.0,0.0,0.0,0.0,
193.128.163.jdd,2003-11-01,00:30:57,500.0,772197.0,0001116502-02-000266,ivax-8k.txt,304.0,,0.0,1.0,0.0,0.0,0.0,
193.128.163.jdd,2003-11-01,00:30:57,500.0,772197.0,0000950144-02-002830,g74927ex23-1.txt,200.0,1108.0,0.0,1.0,0.0,0.0,0.0,
203.196.189.bgd,2003-11-01,00:30:57,500.0,1065645.0,0001065645-03-000003,.txt,200.0,64624.0,0.0,1.0,0.0,0.0,0.0,
193.128.163.jdd,2003-11-01,00:30:58,500.0,772197.0,0001116502-02-000259,ivax-8k.txt,200.0,2314.0,0.0,1.0,0.0,0.0,0.0,
193.128.163.jdd,2003-11-01,00:30:58,500.0,772197.0,0001116502-02-000004,ivax-424b2.txt,200.0,8780.0,0.0,1.0,0.0,0.0,0.0,
193.128.163.jdd,2003-11-01,00:30:58,500.0,772197.0,0001116502-01-501513,ivax-8k.txt,200.0,2882.0,0.0,1.0,0.0,0.0,0.0,
164.164.89.djf,2003-11-01,00:31:00,500.0,67279.0,0001235802-03-000063,-index.htm,200.0,2788.0,1.0,0.0,0.0,1.0,0.0,win
203.196.189.bgd,2003-11-01,00:31:05,500.0,106618.0,0000921895-03-000065,.txt,200.0,8460.0,0.0,1.0,0.0,0.0,0.0,
164.164.89.djf,2003-11-01,00:31:08,500.0,67279.0,0001235802-03-000063,xslF345X02/primary_doc.xml,200.0,16905.0,0.0,0.0,0.0,9.0,0.0,win
203.196.189.bgd,2003-11-01,00:31:10,500.0,1068002.0,0001068002-03-000001,.txt,200.0,6722.0,0.0,1.0,0.0,0.0,0.0,
164.164.89.djf,2003-11-01,00:31:17,500.0,230498.0,0000950144-03-001686,-index.htm,304.0,,1.0,0.0,0.0,1.0,0.0,win
203.196.189.bgd,2003-11-01,00:31:18,500.0,40533.0,0000950133-99-002140,-index.html,200.0,631034.0,1.0,0.0,0.0,1.0,0.0,win
164.164.89.djf,2003-11-01,00:31:19,500.0,230498.0,0000950144-03-001686,g80687e10vq.htm,304.0,,0.0,0.0,0.0,9.0,0.0,win
203.196.189.bgd,2003-11-01,00:31:21,500.0,1068179.0,0001104659-03-002333,.txt,200.0,97589.0,0.0,1.0,0.0,0.0,0.0,
203.196.189.bgd,2003-11-01,00:31:31,500.0,1068292.0,0001012870-03-000757,.txt,200.0,51971.0,0.0,1.0,0.0,0.0,0.0,
203.196.189.bgd,2003-11-01,00:31:36,500.0,1070985.0,0000950144-03-001830,.txt,200.0,13919.0,0.0,1.0,0.0,0.0,0.0,
203.196.189.bgd,2003-11-01,00:31:39,500.0,107454.0,0001125282-03-001873,.txt,200.0,6504.0,0.0,1.0,0.0,0.0,0.0,
203.196.189.bgd,2003-11-01,00:31:41,500.0,1080922.0,0001011438-03-000058,.txt,200.0,29525.0,0.0,1.0,0.0,0.0,0.0,
68.86.163.efj,2003-11-01,00:32:04,500.0,68505.0,0001047469-03-032904,-index.htm,200.0,2305.0,1.0,0.0,0.0,1.0,0.0,win
68.86.163.efj,2003-11-01,00:32:09,500.0,68505.0,0001047469-03-032904,a2119998z8-k.htm,200.0,7200.0,0.0,0.0,0.0,9.0,0.0,win
203.196.189.bgd,2003-11-01,00:32:11,500.0,40533.0,0000950133-99-002263,-index.html,200.0,398040.0,1.0,0.0,0.0,1.0,0.0,win
4.41.252.dii,2003-11-01,00:32:15,500.0,1091822.0,0000891618-02-004471,f84066e10vk.htm,200.0,719500.0,0.0,0.0,0.0,10.0,0.0,win
203.196.189.bgd,2003-11-01,00:32:49,500.0,1081915.0,0000930661-03-000696,.txt,200.0,485711.0,0.0,1.0,0.0,0.0,0.0,
203.196.189.bgd,2003-11-01,00:32:55,500.0,1082249.0,0001019687-03-000285,.txt,200.0,10407.0,0.0,1.0,0.0,0.0,0.0,
65.171.24.gjc,2003-11-01,00:32:55,500.0,1022079.0,0000950117-03-000883,-index.htm,304.0,,1.0,0.0,0.0,1.0,0.0,win
203.196.189.bgd,2003-11-01,00:32:56,500.0,1082285.0,0001127855-03-000095,.txt,200.0,8719.0,0.0,1.0,0.0,0.0,0.0,
65.171.24.gjc,2003-11-01,00:32:58,500.0,1022079.0,0000950117-03-000883,a34631.txt,304.0,,0.0,0.0,0.0,9.0,0.0,win
203.196.189.bgd,2003-11-01,00:33:01,500.0,1086745.0,0001013762-03-000028,.txt,200.0,93188.0,0.0,1.0,0.0,0.0,0.0,
203.196.189.bgd,2003-11-01,00:33:06,500.0,109261.0,0001104659-03-002591,.txt,200.0,26144.0,0.0,1.0,0.0,0.0,0.0,
62.98.10.fjb,2003-11-01,00:33:07,500.0,1160078.0,0001161697-03-000532,form8-k_oct302003.txt,200.0,3712.0,0.0,0.0,0.0,9.0,0.0,win
203.196.189.bgd,2003-11-01,00:33:17,500.0,1094058.0,0001021408-03-002823,.txt,200.0,73342.0,0.0,1.0,0.0,0.0,0.0,
203.196.189.bgd,2003-11-01,00:33:24,500.0,1095691.0,0000930661-03-000690,.txt,200.0,14761.0,0.0,1.0,0.0,0.0,0.0,
203.196.189.bgd,2003-11-01,00:33:26,500.0,1096654.0,0000950152-03-001832,.txt,200.0,33194.0,0.0,1.0,0.0,0.0,0.0,
61.115.76.jbf,2003-11-01,00:33:34,500.0,1235086.0,0001179110-03-009619,.txt,200.0,4355.0,0.0,1.0,0.0,0.0,0.0,
143.89.188.eja,2003-11-01,00:33:56,500.0,1010607.0,0001024739-98-000186,.txt,200.0,1059960.0,0.0,0.0,0.0,1.0,0.0,mie
61.115.76.jbf,2003-11-01,00:34:00,500.0,1264696.0,0000935836-03-000294,.txt,200.0,68458.0,0.0,1.0,0.0,0.0,0.0,
164.164.89.djf,2003-11-01,00:34:24,500.0,1261166.0,0001261166-03-000048,-index.htm,200.0,2569.0,1.0,0.0,0.0,4.0,0.0,win
164.164.89.djf,2003-11-01,00:34:26,500.0,1261166.0,0001261166-03-000048,xslF345X02/sei27.xml,200.0,12228.0,0.0,0.0,0.0,9.0,0.0,win
64.12.97.aba,2003-11-01,00:35:09,500.0,872588.0,0001015402-00-002379,-index.htm,200.0,2732.0,1.0,0.0,0.0,1.0,0.0,mie
203.196.189.bgd,2003-11-01,00:35:23,500.0,1102643.0,0001021408-03-002885,.txt,200.0,2113879.0,0.0,1.0,0.0,0.0,0.0,
203.196.189.bgd,2003-11-01,00:35:34,500.0,1107445.0,0001015402-03-000439,.txt,200.0,153004.0,0.0,1.0,0.0,0.0,0.0,
203.196.189.bgd,2003-11-01,00:35:42,500.0,1109448.0,0001104659-03-002392,.txt,200.0,88914.0,0.0,1.0,0.0,0.0,0.0,
203.196.189.bgd,2003-11-01,00:35:46,500.0,1110361.0,0001157523-03-000365,.txt,200.0,4238.0,0.0,1.0,0.0,0.0,0.0,
203.196.189.bgd,2003-11-01,00:35:56,500.0,1110903.0,0000927016-03-000764,.txt,200.0,196825.0,0.0,1.0,0.0,0.0,0.0,
203.196.189.bgd,2003-11-01,00:36:01,500.0,1115463.0,0001144204-03-000552,.txt,200.0,8530.0,0.0,1.0,0.0,0.0,0.0,
203.196.189.bgd,2003-11-01,00:36:14,500.0,1121484.0,0000950129-03-000846,.txt,200.0,173806.0,0.0,1.0,0.0,0.0,0.0,
203.196.189.bgd,2003-11-01,00:36:20,500.0,1132651.0,0000743530-03-000011,.txt,200.0,22160.0,0.0,1.0,0.0,0.0,0.0,
203.196.189.bgd,2003-11-01,00:36:23,500.0,1137019.0,0000949377-03-000070,.txt,200.0,29270.0,0.0,1.0,0.0,0.0,0.0,
203.196.189.bgd,2003-11-01,00:36:40,500.0,1141665.0,0000905148-03-000608,.txt,200.0,240387.0,0.0,1.0,0.0,0.0,0.0,
203.196.189.bgd,2003-11-01,00:36:45,500.0,1145202.0,0001189306-03-000117,.txt,200.0,11947.0,0.0,1.0,0.0,0.0,0.0,
203.196.189.bgd,2003-11-01,00:36:47,500.0,1157377.0,0000950133-03-000436,.txt,200.0,11946.0,0.0,1.0,0.0,0.0,0.0,
203.196.189.bgd,2003-11-01,00:36:49,500.0,1161396.0,0001012870-03-000774,.txt,200.0,22647.0,0.0,1.0,0.0,0.0,0.0,
203.196.189.bgd,2003-11-01,00:36:52,500.0,1161647.0,0001183143-03-000005,.txt,200.0,7586.0,0.0,1.0,0.0,0.0,0.0,
203.196.189.bgd,2003-11-01,00:36:53,500.0,1163612.0,0001104540-03-000040,.txt,200.0,50065.0,0.0,1.0,0.0,0.0,0.0,
203.196.189.bgd,2003-11-01,00:36:57,500.0,1164246.0,0000916641-03-000273,.txt,200.0,20131.0,0.0,1.0,0.0,0.0,0.0,
203.196.189.bgd,2003-11-01,00:38:02,500.0,1166221.0,0000870156-03-000017,.txt,200.0,785311.0,0.0,1.0,0.0,0.0,0.0,
61.115.76.jbf,2003-11-01,00:38:06,500.0,1257242.0,0000902664-03-001591,.txt,200.0,5158.0,0.0,1.0,0.0,0.0,0.0,
203.196.189.bgd,2003-11-01,00:38:09,500.0,1168556.0,0001010549-03-000051,.txt,200.0,5864.0,0.0,1.0,0.0,0.0,0.0,
203.196.189.bgd,2003-11-01,00:38:10,500.0,1171486.0,0000950129-03-000824,.txt,200.0,15496.0,0.0,1.0,0.0,0.0,0.0,
203.196.189.bgd,2003-11-01,00:38:12,500.0,1171500.0,0000950123-03-001496,.txt,200.0,49443.0,0.0,1.0,0.0,0.0,0.0,
202.56.197.bic,2003-11-01,00:38:22,500.0,1136424.0,0001104540-03-000196,-index.htm,200.0,2049.0,1.0,0.0,0.0,1.0,0.0,win
203.196.189.bgd,2003-11-01,00:38:28,500.0,19411.0,0001047469-03-000383,.txt,200.0,136106.0,0.0,1.0,0.0,0.0,0.0,
203.196.189.bgd,2003-11-01,00:38:34,500.0,20212.0,0000940397-03-000004,.txt,200.0,59328.0,0.0,1.0,0.0,0.0,0.0,
203.196.189.bgd,2003-11-01,00:38:40,500.0,25095.0,0000950137-03-000087,.txt,200.0,8542.0,0.0,1.0,0.0,0.0,0.0,
203.196.189.bgd,2003-11-01,00:38:41,500.0,12355.0,0000012355-03-000002,.txt,200.0,7894.0,0.0,1.0,0.0,0.0,0.0,
203.196.189.bgd,2003-11-01,00:38:42,500.0,17797.0,0001021408-03-000039,.txt,200.0,8836.0,0.0,1.0,0.0,0.0,0.0,
203.196.189.bgd,2003-11-01,00:38:44,500.0,19617.0,0000019617-03-000003,.txt,200.0,16340.0,0.0,1.0,0.0,0.0,0.0,
203.196.189.bgd,2003-11-01,00:38:45,500.0,22872.0,0000950144-03-000089,.txt,200.0,13928.0,0.0,1.0,0.0,0.0,0.0,
203.196.189.bgd,2003-11-01,00:38:46,500.0,28146.0,0001019056-03-000004,.txt,200.0,27647.0,0.0,1.0,0.0,0.0,0.0,
203.196.189.bgd,2003-11-01,00:38:49,500.0,34088.0,0000034088-03-000003,.txt,200.0,4459.0,0.0,1.0,0.0,0.0,0.0,
203.196.189.bgd,2003-11-01,00:38:49,500.0,33073.0,0000033073-03-000001,.txt,200.0,12009.0,0.0,1.0,0.0,0.0,0.0,
203.196.189.bgd,2003-11-01,00:39:49,500.0,1184254.0,0000914121-03-000179,.txt,200.0,693038.0,0.0,1.0,0.0,0.0,0.0,
61.115.76.jbf,2003-11-01,00:39:51,500.0,1099800.0,0001104659-03-024124,.txt,200.0,206611.0,0.0,1.0,0.0,0.0,0.0,
68.13.29.cic,2003-11-01,00:40:10,500.0,1191693.0,0001168404-03-000317,.txt,200.0,4602.0,0.0,1.0,0.0,0.0,1.0,
203.196.189.bgd,2003-11-01,00:40:14,500.0,34471.0,0000902664-03-000005,.txt,200.0,243056.0,0.0,1.0,0.0,0.0,0.0,
203.196.189.bgd,2003-11-01,00:40:20,500.0,34471.0,0000902664-03-000006,.txt,200.0,6495.0,0.0,1.0,0.0,0.0,0.0,
203.196.189.bgd,2003-11-01,00:40:22,500.0,37637.0,0001021408-03-000038,.txt,200.0,9047.0,0.0,1.0,0.0,0.0,0.0,
203.196.189.bgd,2003-11-01,00:40:24,500.0,37996.0,0000037996-03-000001,.txt,200.0,9425.0,0.0,1.0,0.0,0.0,0.0,
203.196.189.bgd,2003-11-01,00:40:25,500.0,38009.0,0000038009-03-000001,.txt,200.0,9193.0,0.0,1.0,0.0,0.0,0.0,
203.196.189.bgd,2003-11-01,00:40:27,500.0,40528.0,0000040528-03-000002,.txt,200.0,5507.0,0.0,1.0,0.0,0.0,0.0,
203.196.189.bgd,2003-11-01,00:40:29,500.0,40730.0,0000040730-03-000012,.txt,200.0,38063.0,0.0,1.0,0.0,0.0,0.0,
203.196.189.bgd,2003-11-01,00:40:30,500.0,731012.0,0000950116-02-000413,.txt,200.0,152522.0,0.0,0.0,0.0,1.0,0.0,win
203.196.189.bgd,2003-11-01,00:40:34,500.0,45012.0,0000045012-03-000002,.txt,200.0,4427.0,0.0,1.0,0.0,0.0,0.0,
203.196.189.bgd,2003-11-01,00:40:35,500.0,47111.0,0000047111-03-000002,.txt,200.0,5896.0,0.0,1.0,0.0,0.0,0.0,
203.196.189.bgd,2003-11-01,00:40:36,500.0,49754.0,0001047469-03-000287,.txt,200.0,17187.0,0.0,1.0,0.0,0.0,0.0,
203.196.189.bgd,2003-11-01,00:40:42,500.0,50471.0,0001038838-02-001005,.txt,200.0,170254.0,0.0,1.0,0.0,0.0,0.0,
203.196.189.bgd,2003-11-01,00:40:45,500.0,51143.0,0001047469-03-000017,.txt,200.0,4993.0,0.0,1.0,0.0,0.0,0.0,
203.196.189.bgd,2003-11-01,00:40:59,500.0,52617.0,0000052617-03-000011,.txt,200.0,290544.0,0.0,1.0,0.0,0.0,0.0,
203.196.189.bgd,2003-11-01,00:41:08,500.0,53025.0,0000950124-03-000010,.txt,200.0,114558.0,0.0,1.0,0.0,0.0,0.0,
203.196.189.bgd,2003-11-01,00:41:12,500.0,65270.0,0001047469-03-000085,.txt,200.0,24578.0,0.0,1.0,0.0,0.0,0.0,
203.196.189.bgd,2003-11-01,00:41:15,500.0,70033.0,0000931763-03-000003,.txt,200.0,17785.0,0.0,1.0,0.0,0.0,0.0,
